MAT00001,CUERO     ,FRESCO                        ,                              ,     ,MATERIA PRIMA  ,PRODUCCION          ,       254,                    ,2019/02/07
MAT02221,CUERO     ,SALADO                        ,                              ,     ,MATERIA PRIMA  ,PRODUCCION          ,       596,                    ,2024/07/19
PEL02229,CUERO     ,FRESCO                        ,                              ,     ,PELAMBRE       ,PRODUCCION          ,       426,                    ,0000/00/00
PEL02231,CUERO     ,FRESCO                        ,                              ,     ,PELAMBRE       ,PRODUCCION          ,       266,                    ,0000/00/00
PEL02232,CUERO     ,FRESCO                        ,                              ,     ,PELAMBRE       ,PRODUCCION          ,       184,                    ,0000/00/00
PES02230,CUERO     ,PESADO                        ,                              ,     ,CURTIDO        ,PRODUCCION          ,       396,                    ,0000/00/00
MED02230,CUERO     ,MEDIANO                       ,                              ,     ,CURTIDO        ,PRODUCCION          ,       120,                    ,0000/00/00
CUR06620,CUERO     ,PESADO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,       593,                    ,0000/00/00
CUR06617,CUERO     ,PESADO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,       368,                    ,0000/00/00
CUR06618,CUERO     ,MEDIANO                       ,                              ,     ,REBAJADO       ,PRODUCCION          ,        98,                    ,0000/00/00
CUR06619,CUERO     ,MEDIANO                       ,                              ,     ,REBAJADO       ,PRODUCCION          ,        33,                    ,0000/00/00
BUF02154,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,         4,                    ,2024/03/26
BUF02156,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2024/03/27
BUF01158,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,        64,                    ,2019/10/22
BUF01172,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,        84,                    ,2019/10/22
BUF01735,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2022/04/18
BUF01745,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,         7,                    ,2022/04/29
BUF01763,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,       156,                    ,2022/11/23
BUF01146,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,        62,                    ,2019/10/22
BUF01159,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,        72,                    ,2019/10/22
BUF01162,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,        66,                    ,2019/10/22
BUF01163,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,        56,                    ,2019/10/22
BUF01176,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,        58,                    ,2019/10/22
BUF01194,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,        86,                    ,2019/10/22
BUF01209,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,        60,                    ,2019/10/22
BUF01226,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,         5,                    ,2019/10/22
BUF01242,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,        66,                    ,2019/10/22
BUF01262,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,         5,                    ,2019/10/22
BUF01641,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,        28,                    ,2021/12/16
BUF01727,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2022/04/06
BUF02148,CUERO     ,BUFALO                        ,                              ,     ,REBAJADO       ,PRODUCCION          ,        29,                    ,2024/03/28
3XP02221,CUERO     ,TERCERAS X PESADO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,       363,                    ,0000/00/00
4AP02081,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        75,                    ,2023/11/25
4AP02083,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        23,                    ,2023/11/01
4AP02084,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        95,                    ,2023/11/07
4AP02085,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        70,                    ,2023/11/09
4AP02086,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        13,                    ,2023/11/15
4AP02109,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,       132,                    ,2024/01/09
4AP02105,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        38,                    ,2024/01/15
4AP02088,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         5,                    ,2023/12/18
4AP02106,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        59,                    ,2024/01/18
4AP02112,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,       106,                    ,2024/01/18
4AP02115,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,       122,                    ,2024/01/23
4AP02101,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,       175,                    ,2024/01/09
4AP02117,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         8,                    ,2024/01/22
4AP02121,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         4,                    ,2024/02/05
4AP02116,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        85,                    ,2024/01/31
4AP02119,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         9,                    ,2024/01/30
4AP02203,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         5,                    ,2024/06/25
4AP02208,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,       258,                    ,2024/07/03
4AP02212,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        77,                    ,2024/07/12
4AP02213,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         9,                    ,2024/07/11
4AP02206,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,       155,                    ,2024/07/02
4AP02215,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        72,                    ,2024/07/16
4AP02214,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        83,                    ,2024/07/16
4AP02218,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        45,                    ,2024/07/23
4AP02223,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,       353,                    ,2024/08/01
4AP02221,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        73,                    ,0000/00/00
4AP02225,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        17,                    ,0000/00/00
4AP02072,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,       119,                    ,2023/10/25
4AP02120,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        62,                    ,2024/01/31
4AP02134,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        80,                    ,2024/02/29
4AP02183,CUERO     ,CUARTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        53,                    ,2024/06/18
4XP02196,CUERO     ,CUARTAS X PESADO              ,                              ,     ,REBAJADO       ,PRODUCCION          ,       227,                    ,2024/06/07
4XP02197,CUERO     ,CUARTAS X PESADO              ,                              ,     ,REBAJADO       ,PRODUCCION          ,       279,                    ,2024/06/13
4XP02200,CUERO     ,CUARTAS X PESADO              ,                              ,     ,REBAJADO       ,PRODUCCION          ,       416,                    ,2024/06/19
4XP02183,CUERO     ,CUARTAS X PESADO              ,                              ,     ,REBAJADO       ,PRODUCCION          ,       330,                    ,2024/06/18
